"Latitude","Longitude","Cluster","Core","MMSI","Time"
"36.731115","122.84593833333334","3","1","412302110","FriApr0600:22:26CST2018"
"36.73289666666667","122.84602666666666","3","1","412302110","FriApr0600:23:05CST2018"
"36.733293333333336","122.84606","3","1","412302110","FriApr0600:23:15CST2018"
"36.73378666666667","122.84608666666666","3","1","412302110","FriApr0600:23:25CST2018"
"36.734186666666666","122.84610666666669","3","1","412302110","FriApr0600:23:36CST2018"
"36.73512","122.84615","3","1","412302110","FriApr0600:23:55CST2018"
"36.73556666666666","122.846165","3","1","412302110","FriApr0600:24:15CST2018"
"36.735965","122.84617666666666","3","1","412302110","FriApr0600:24:18CST2018"
"36.73645166666667","122.84620166666669","3","1","412302110","FriApr0600:24:26CST2018"
"36.73685","122.84622166666666","3","1","412302110","FriApr0600:24:35CST2018"
"36.73777833333333","122.84627166666668","3","1","412302110","FriApr0600:24:55CST2018"
"36.738225","122.84628333333332","3","1","412302110","FriApr0600:25:05CST2018"
"36.73862333333334","122.8463","3","1","412302110","FriApr0600:25:15CST2018"
"36.739111666666666","122.84631166666668","3","1","412302110","FriApr0600:25:26CST2018"
"36.739515","122.84632833333332","3","1","412302110","FriApr0600:25:35CST2018"
"36.74044666666666","122.84637666666669","3","1","412302110","FriApr0600:25:55CST2018"
"36.74089333333333","122.84639833333334","3","1","412302110","FriApr0600:26:05CST2018"
"36.74129333333333","122.84641833333332","3","1","412302110","FriApr0600:26:15CST2018"
"36.74178333333333","122.84645","3","1","412302110","FriApr0600:26:25CST2018"
"36.74218333333334","122.84647333333334","3","1","412302110","FriApr0600:26:35CST2018"
"36.74268","122.84649","3","1","412302110","FriApr0600:26:45CST2018"
"36.74312333333334","122.84651166666669","3","1","412302110","FriApr0600:26:55CST2018"
"36.74357333333333","122.84653","3","1","412302110","FriApr0600:27:05CST2018"
"36.74397166666667","122.84654666666668","3","1","412302110","FriApr0600:27:15CST2018"
"36.744465","122.84656666666666","3","1","412302110","FriApr0600:27:26CST2018"
"36.74486666666667","122.84658833333332","3","1","412302110","FriApr0600:27:35CST2018"
"36.745315","122.84661","3","1","412302110","FriApr0600:27:45CST2018"
"36.74580666666667","122.84663166666668","3","1","412302110","FriApr0600:27:56CST2018"
"36.746255","122.84665333333334","3","1","412302110","FriApr0600:28:05CST2018"
"36.746658333333336","122.84667833333332","3","1","412302110","FriApr0600:28:15CST2018"
"36.74715166666667","122.84669666666667","3","1","412302110","FriApr0600:28:26CST2018"
"36.747551666666666","122.846705","3","1","412302110","FriApr0600:28:35CST2018"
"36.74849666666667","122.84673","3","1","412302110","FriApr0600:28:56CST2018"
"36.74849666666667","122.84673","3","1","412302110","FriApr0600:28:57CST2018"
"36.74894666666667","122.84675","3","1","412302110","FriApr0600:29:05CST2018"
"36.74984833333333","122.84679166666666","3","1","412302110","FriApr0600:29:26CST2018"
"36.75025333333333","122.84681","3","1","412302110","FriApr0600:29:35CST2018"
"36.750745","122.846835","3","1","412302110","FriApr0600:29:45CST2018"
"36.75119166666666","122.84685166666668","3","1","412302110","FriApr0600:29:56CST2018"
"36.75164166666666","122.84687166666669","3","1","412302110","FriApr0600:30:05CST2018"
"36.752045","122.84688166666666","3","1","412302110","FriApr0600:30:51CST2018"
"36.75253833333333","122.84689333333333","3","1","412302110","FriApr0600:30:54CST2018"
"36.753881666666665","122.84695","3","1","412302110","FriApr0600:30:57CST2018"
"36.75433","122.84697166666666","3","1","412302110","FriApr0600:31:05CST2018"
"36.754731666666665","122.84698666666668","3","1","412302110","FriApr0600:31:15CST2018"
"36.755715","122.84701833333334","3","1","412302110","FriApr0600:31:36CST2018"
"36.755715","122.84701833333334","3","1","412302110","FriApr0600:31:37CST2018"
"36.75656666666666","122.84705","3","1","412302110","FriApr0600:31:56CST2018"
"36.75741666666666","122.84708166666668","3","1","412302110","FriApr0600:32:15CST2018"
"36.757911666666665","122.847105","3","1","412302110","FriApr0600:32:26CST2018"
"36.758405","122.84713","3","1","412302110","FriApr0600:32:36CST2018"
"36.75880333333333","122.847145","3","1","412302110","FriApr0600:32:45CST2018"
"36.75925166666666","122.84717","3","1","412302110","FriApr0600:32:56CST2018"
"36.75965333333333","122.84718833333334","3","1","412302110","FriApr0600:33:04CST2018"
"36.76058666666667","122.847225","3","1","412302110","FriApr0600:33:26CST2018"
"36.76108","122.84724666666666","3","1","412302110","FriApr0600:33:36CST2018"
"36.76193333333333","122.84728166666666","3","1","412302110","FriApr0600:33:56CST2018"
"36.762335","122.847295","3","1","412302110","FriApr0600:34:05CST2018"
"36.76282833333333","122.84731333333332","3","1","412302110","FriApr0600:34:16CST2018"
"36.76327833333333","122.84733166666666","3","1","412302110","FriApr0600:34:26CST2018"
"36.76377166666666","122.84735666666668","3","1","412302110","FriApr0600:34:36CST2018"
"36.76412833333333","122.84737333333334","3","1","412302110","FriApr0600:34:45CST2018"
"36.76462333333333","122.84739666666668","3","1","412302110","FriApr0600:34:56CST2018"
"36.76502333333333","122.84741","3","1","412302110","FriApr0600:35:05CST2018"
"36.76551333333333","122.84743333333331","3","1","412302110","FriApr0600:35:16CST2018"
"36.765965","122.84745","3","1","412302110","FriApr0600:35:26CST2018"
"36.7673","122.84751333333334","3","1","412302110","FriApr0600:35:55CST2018"
"36.76770333333333","122.84753","3","1","412302110","FriApr0600:36:05CST2018"
"36.76819666666667","122.847545","3","1","412302110","FriApr0600:36:16CST2018"
"36.76819666666667","122.847545","3","1","412302110","FriApr0600:36:17CST2018"
"36.768645","122.847565","3","1","412302110","FriApr0600:36:26CST2018"
"36.76913833333333","122.84758333333332","3","1","412302110","FriApr0600:36:36CST2018"
"36.76949666666667","122.847595","3","1","412302110","FriApr0600:36:45CST2018"
"36.76998666666667","122.84761166666668","3","1","412302110","FriApr0600:36:55CST2018"
